city	number of events
Tuscaloosa, AL	101
McHenry, IL	101
Brentwood, TN	100
Stockton, CA	100
North Canton, OH	99
Nevada City, CA	99
Murfreesboro, TN	98
Muskogee, OK	98
Elk Grove, CA	96
Bloomington, IN	96
Daytona Beach, FL	96
Offutt A F B, NE	94
New Hyde Park, NY	94
Linthicum Heights, MD	91
Pewaukee, WI	91
Carlsbad, CA	91
Coeur D Alene, ID	91
West Hollywood, CA	90
De Pere, WI	90
White Plains, NY	88
Bethesda, MD	88
Greeley, CO	87
Fargo, ND	87
Greenwich, CT	87
Holmdel, NJ	86
Park City, UT	86
Florence, OR	86
Flint, MI	85
Conroe, TX	81
Merced, CA	81
Bradenton, FL	81
Cuyahoga Falls, OH	81
Columbus, GA	80
Stony Brook, NY	80
La Mirada, CA	79
Winter Garden, FL	79
Tyler, TX	78
Palm Beach Gardens, FL	78
Wilkes Barre, PA	77
Avon, CT	77
Maricopa, AZ	77
Monmouth Junction, NJ	77
Canton, OH	76
Waco, TX	76
Cranbury, NJ	76
Camarillo, CA	75
Norwich, CT	75
Falls Church, VA	74
North Little Rock, AR	74
Manhattan Beach, CA	74
South San Francisco, CA	73
American Fork, UT	73
East Troy, WI	72
Visalia, CA	72
Glendale, AZ	72
Texas City, TX	71
Trenton, NJ	71
Boynton Beach, FL	71
Monterey Park, CA	70
Montclair, NJ	69
Sterling, VA	68
Merritt Island, FL	68
Bedford, TX	67
Forest Park, IL	67
North Palm Beach, FL	67
Pottstown, PA	66
Mandeville, LA	66
Nanuet, NY	66
Belmont, NC	65
Lake Oswego, OR	64
Meridian, ID	63
Rocklin, CA	63
Woodstock, GA	62
Chatsworth, CA	62
Chalfont, PA	61
O Fallon, MO	61
Kissimmee, FL	61
Lancaster, CA	61
Carrboro, NC	60
Neptune Beach, FL	60
Kirkland, WA	59
Ashburn, VA	59
Whittier, CA	59
Byron Center, MI	58
Greenvale, NY	58
Southington, CT	58
Rocky Hill, CT	58
Nederland, TX	58
Neenah, WI	57
Concord, NC	57
Montgomery, AL	57
Long Island City, NY	57
Newark, DE	57
Lake Worth, FL	56
Downers Grove, IL	56
Fort Mill, SC	55
Rockford, IL	55
Pawtucket, RI	54
Olathe, KS	53
College Station, TX	52
Newington, CT	52
Rochester, MN	52
Birmingham, MI	52
Shreveport, LA	52
Port Washington, NY	51
Allen Park, MI	51
McAllen, TX	51
East Hartford, CT	51
North Richland Hills, TX	51
Morristown, TN	51
Poquoson, VA	51
Jupiter, FL	50
Eagle, ID	50
Easton, PA	50
Delafield, WI	50
Agawam, MA	50
Brighton, MI	50
Longwood, FL	49
Marina del Rey, CA	49
Deland, FL	48
Fair Oaks, CA	47
Perrysburg, OH	47
Janesville, WI	47
Rochester, MI	47
St Catharines, ON	46
Smyrna, GA	46
Conyers, GA	46
Auburn, WA	46
Somerset, NJ	45
Rolling Meadows, IL	45
Tracy, CA	45
Enfield, CT	45
Encinitas, CA	45
Roswell, GA	44
New Rochelle, NY	44
Macon, GA	44
Cornelius, NC	44
Hialeah, FL	43
Placentia, CA	43
Coppell, TX	43
Muncie, IN	43
Valparaiso, IN	42
Herriman, UT	42
Rancho Cucamonga, CA	42
Escondido, CA	42
San Marcos, CA	41
Pontiac, MI	41
Muskegon, MI	41
Westbury, NY	40
Manchester, NH	40
Tijuana, Mexico	40
Shawnee, KS	39
